id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17402809,Rental unit in Newport · ★4.95 · 2 bedrooms · 2 beds · 1.5 baths,36560481,Jeff,Newport,Newport,41.484596252441406,-71.31351470947266,Entire home/apt,292,1,284,2023-12-17,3.52,3,0,38,785 (City of Newport)  RE.01544-STR- Unit 1 (State RI)
17432091,Home in Narragansett · ★4.92 · 4 bedrooms · 4 beds · 2 baths,11299526,Sarah,Washington,Narragansett,41.48303,-71.43433,Entire home/apt,267,4,50,2023-11-15,0.62,1,57,13,RE.00307-STR
17435524,Home in Bristol · ★5.0 · 1 bedroom · 1 bed · 1 private bath,11457424,Judi,Bristol,Bristol,41.666,-71.27226,Private room,150,2,84,2022-09-05,1.04,1,364,0,
17479057,Home in Narragansett · ★4.95 · 3 bedrooms · 3 beds · 1.5 baths,118402325,Leslie,Washington,Narragansett,41.38599,-71.48248,Entire home/apt,399,7,86,2023-08-21,1.06,1,57,10,RR-890
17488465,Guesthouse in Richmond · 1 bedroom · 2 beds · 1 bath,118488845,Kerri,Washington,Richmond,41.47671,-71.66071,Entire home/apt,289,1,1,2023-05-21,0.13,1,365,1,
17546197,Home in Providence · ★5.0 · 4 bedrooms · 6 beds · 2.5 baths,109647660,David And Gina,Providence,Providence,41.84986,-71.38906,Entire home/apt,1345,3,6,2022-05-30,0.07,1,27,0,
17546201,Cottage in Charlestown · ★4.77 · 2 bedrooms · 3 beds · 1 bath,76370743,Marcia,Washington,Charlestown,41.37764,-71.62176,Entire home/apt,220,5,44,2023-10-14,0.56,1,180,4,
17555054,Rental unit in Newport · ★5.0 · 2 bedrooms · 3 beds · 1 bath,50673349,Cheryl,Newport,Newport,41.49103,-71.31645,Entire home/apt,100,30,10,2022-05-29,0.13,3,334,0,
17606375,Home in Narragansett · ★5.0 · 4 bedrooms · 4 beds · 2 baths,119663741,Josh,Washington,Narragansett,41.38808,-71.48315,Entire home/apt,850,5,11,2023-08-24,0.36,1,79,4,RR-400
17619573,Home in Middletown · ★4.73 · 3 bedrooms · 4 beds · 2 baths,119788961,Rachel,Newport,Middletown,41.48742,-71.27925,Entire home/apt,500,3,22,2023-06-19,0.33,1,262,4,
17619758,Rental unit in Providence · ★4.95 · 4 bedrooms · 12 beds · 2 baths,96244386,Gabriel,Providence,Providence,41.84706,-71.4431,Entire home/apt,1799,2,19,2023-05-21,0.24,13,351,1,00239
17666802,Bed and breakfast in South Kingstown · ★4.72 · 3 bedrooms · 1 bed · 1.5 baths,32352745,Patti,Washington,South Kingstown,41.48344,-71.526115,Private room,140,1,18,2023-08-07,0.23,1,217,2,
17667006,Home in Coventry · ★4.93 · 1 bedroom · 2 beds · 1 private bath,2103713,Lifen And Dan,Kent,Coventry,41.67041,-71.54682,Private room,154,2,68,2023-10-29,0.88,1,352,16,RE.01921-STR
17681124,Rental unit in Newport · ★4.50 · 4 bedrooms · 6 beds · 3 baths,9451427,Ingrid,Newport,Newport,41.47176,-71.31391,Entire home/apt,343,2,111,2023-12-04,1.36,2,333,26,
17702445,Rental unit in Newport · ★4.88 · 1 bedroom · 3 beds · 1 bath,37795696,Meg,Newport,Newport,41.457672,-71.310791,Entire home/apt,73,1,497,2023-12-23,6.26,2,166,73,
17711545,Home in Newport · ★4.78 · 1 bedroom · 1 bed · 1 bath,120715482,Cindy,Newport,Newport,41.4678,-71.31404,Private room,175,2,148,2023-10-08,1.82,2,90,4,
17714201,Rental unit in Newport · ★4.88 · 1 bedroom · 1 bed · 1 bath,7396890,Karen,Newport,Newport,41.48796,-71.31227,Entire home/apt,147,2,304,2023-11-26,3.80,4,357,54,RE.01020-STR
17715711,Rental unit in Newport · ★4.90 · 2 bedrooms · 2 beds · 1 bath,7396890,Karen,Newport,Newport,41.48741,-71.31221,Entire home/apt,170,2,302,2023-12-18,3.76,4,0,46,RE.01019-STR
17716007,Rental unit in Providence · ★4.82 · 1 bedroom · 2 beds · 1 bath,75297967,Air Hostd,Providence,Providence,41.82268,-71.41499,Entire home/apt,78,3,212,2023-12-06,2.57,22,235,26,RE.01062-STR
17720278,Home in Charlestown · ★4.71 · 3 bedrooms · 4 beds · 1 bath,120811533,Tim,Washington,Charlestown,41.41014,-71.62278,Entire home/apt,771,2,49,2023-07-16,0.62,1,177,1,RE.02347-STR
17730072,Cottage in South Kingstown · ★4.81 · 1 bedroom · 1 bed · 1 bath,95450154,Greg,Washington,South Kingstown,41.38446,-71.52579,Entire home/apt,150,1,84,2023-10-01,1.07,3,265,10,
17795021,Home in Providence · ★5.0 · 1 bedroom · 2 beds · 1 shared bath,57812241,Alexia,Providence,Providence,41.79859,-71.42632,Private room,59,20,21,2023-07-03,0.26,5,197,2,
17802313,Home in Narragansett · ★4.95 · 7 bedrooms · 7 beds · 5.5 baths,41367648,AMPM Property Management,Washington,Narragansett,41.37236,-71.49311,Entire home/apt,1071,2,20,2023-11-26,0.25,8,203,9,RE.02673-STR
17838525,Home in Newport · ★5.0 · 3 bedrooms · 2 beds · 2.5 baths,65395477,Michael,Newport,Newport,41.47373,-71.31579,Entire home/apt,750,30,51,2022-08-01,0.79,1,363,0,RE.03943-STR
17846387,Rental unit in Narragansett · ★4.83 · Studio · 1 bed · 1 bath,122078306,Peter & Karen,Washington,Narragansett,41.37649,-71.51143,Entire home/apt,311,1,23,2023-08-12,0.29,4,220,2,RE: 02541-STR
17862490,Camper/RV in Portsmouth · ★4.88 · 1 bedroom · 1 bed · 1 bath,72517034,Justin,Newport,Portsmouth,41.58752,-71.27427,Entire home/apt,145,2,139,2023-09-17,1.74,4,160,15,
17863001,Loft in Warren · ★4.93 · 1 bedroom · 1 bed · 1.5 baths,22996421,Allison,Bristol,Warren,41.73155,-71.28587,Entire home/apt,150,30,68,2023-09-24,0.85,5,179,4,RE.01595-STR
17908543,Home in Middletown · 2 bedrooms · 3 beds · 1 bath,77010010,Amy,Newport,Middletown,41.51658,-71.24623,Entire home/apt,500,7,0,,,1,358,0,
17922641,Condo in Newport · ★4.91 · 1 bedroom · 1 bed · 1 bath,97763642,Pelham Court,Newport,Newport,41.48636,-71.31429,Entire home/apt,178,1,431,2023-12-23,5.26,5,0,78,RE.00401-STR
17965494,Home in Providence · ★4.55 · 1 bedroom · 1 bed · 1 shared bath,49520891,Dylon,Providence,Providence,41.83681,-71.40269,Private room,70,2,118,2023-11-09,1.45,1,0,21,
17978295,Home in East Providence · ★4.84 · 1 bedroom · 4 beds · 1.5 shared baths,90981190,Lisa,Providence,East Providence,41.80063,-71.36974,Private room,170,1,125,2023-10-22,1.56,1,180,11,
17990776,Cottage in Narragansett · ★5.0 · 2 bedrooms · 2 beds · 1 bath,66737752,George,Washington,Narragansett,41.38568,-71.51033,Entire home/apt,300,2,53,2023-10-07,0.67,1,0,15,
18001929,Home in Narragansett · ★4.77 · 4 bedrooms · 4 beds · 2 baths,123728921,John,Washington,Narragansett,41.39742,-71.48023,Entire home/apt,400,7,22,2023-08-19,0.28,1,175,4,RE.00459-STR
18022358,Guest suite in Middletown · ★4.89 · 1 bedroom · 2 beds · 1 bath,351244,Anne,Newport,Middletown,41.50217,-71.28089,Entire home/apt,107,1,365,2023-12-03,4.51,1,0,50,
18022638,Home in Portsmouth · ★4.92 · 4 bedrooms · 4 beds · 2.5 baths,7365447,Alicia,Newport,Portsmouth,41.64223,-71.22115,Entire home/apt,732,3,168,2023-11-25,2.06,1,271,26,
18023920,Home in Narragansett · ★5.0 · 3 bedrooms · 6 beds · 3 baths,95416501,Brian,Washington,Narragansett,41.4093,-71.48772,Entire home/apt,438,3,23,2023-11-26,0.34,1,333,3,RE.00078-STR
18041499,Home in South Kingstown · ★5.0 · 3 bedrooms · 4 beds · 2 baths,111042610,Kyle,Washington,South Kingstown,41.46022,-71.45345,Entire home/apt,400,7,6,2021-08-14,0.08,1,179,0,RE.00584-STR
18058660,Home in Providence · ★4.84 · 4 bedrooms · 5 beds · 2 baths,124274212,Rick & Magda,Providence,Providence,41.847,-71.44824,Entire home/apt,298,3,49,2023-08-08,0.61,3,94,5,RE.02977-STR
18122724,Cottage in Jamestown · ★4.92 · 4 bedrooms · 4 beds · 2 baths,124884152,Nancy,Newport,Jamestown,41.56652069091797,-71.36439514160156,Entire home/apt,475,7,12,2022-08-20,0.15,1,100,0,RE.00319-STR
18160426,Home in Narragansett  · ★4.33 · 3 bedrooms · 5 beds · 2 baths,15004334,Susan,Washington,Narragansett,41.43317,-71.47699,Entire home/apt,625,7,3,2022-08-27,0.17,5,295,0,
18173407,Cottage in Block Island · ★4.80 · 3 bedrooms · 3 beds · 2 baths,122050777,Ann,Washington,New Shoreham,41.17402,-71.56052,Entire home/apt,999,2,10,2020-10-04,0.13,18,175,0,
18173410,Rental unit in Block Island · ★4.82 · 1 bedroom · 1 bed · 1 bath,122050777,Ann,Washington,New Shoreham,41.17455,-71.55925,Entire home/apt,363,2,11,2023-06-18,0.15,18,301,2,
18173578,Bed and breakfast in Block Island · ★5.0 · 1 bedroom · 1 bed · 1 private bath,122050777,Ann,Washington,New Shoreham,41.1737,-71.56068,Private room,297,2,5,2023-04-03,0.09,18,258,1,
18173580,Bed and breakfast in Block Island · ★5.0 · 1 bedroom · 1 bed · 1 bath,122050777,Ann,Washington,New Shoreham,41.17468,-71.56106,Private room,240,2,9,2023-04-24,0.16,18,305,5,
18173581,Bed and breakfast in Block Island · 1 bedroom · 1 bed · 1 bath,122050777,Ann,Washington,New Shoreham,41.17451,-71.5594,Private room,320,2,2,2019-08-28,0.04,18,299,0,
18173583,Bed and breakfast in Block Island · ★4.89 · 1 bedroom · 1 bed · 1 private bath,122050777,Ann,Washington,New Shoreham,41.17386,-71.55917,Private room,234,2,19,2023-09-21,0.24,18,316,7,
18173584,Bed and breakfast in Block Island · ★4.78 · 1 bedroom · 1 bed · 1 bath,122050777,Ann,Washington,New Shoreham,41.17347,-71.56071,Private room,264,2,9,2023-04-15,0.16,18,240,3,
